we01_id_wezla,we02_tytul_do_wezla,we03_id_podmiotu_obcego,we04_terc,we05_simc,we06_ulic,we07_nr_porzadkowy,we08_szerokosc,we09_dlugosc,we10_medium_transmisyjne,we11_bsa,we12_technologia_dostepowa,we13_uslugi_transmisji_danych,we14_mozliwosc_zwiekszenia_liczby_interfejsow,we15_finansowanie_publ,we16_numery_projektow_publ,we17_infrastruktura_o_duzym_znaczeniu,we18_typ_interfejsu,we19_udostepnianie_ethernet
W89,Węzeł własny,,2205085,0177460,53638,46,54.3191,18.4690,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W90,Węzeł własny,,2205084,0935127,02648,17,54.3515,18.3601,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W91,Węzeł własny,,2205085,0177320,18337,40B,54.3183,18.4257,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W92,Węzeł własny,,2205085,0177514,09223,2,54.3446,18.3784,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W93,Węzeł własny,,2205085,0177402,20254,28B,54.3149,18.3780,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W94,Węzeł własny,,2205085,1014464,,15B,54.3336,18.4038,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W95,Węzeł własny,,2215092,0175343,07879,8,54.4481,18.2863,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W96,Węzeł własny,,2205062,0174125,19335,4,54.2102,17.9380,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W97,Węzeł własny,,2205032,0169584,21271,52,54.4194,18.2777,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W98,Węzeł własny,,2215092,0175290,22977,3,54.4640,18.3256,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W99,Węzeł własny,,2215092,0990971,13283,9,54.4601,18.2853,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W100,Węzeł własny,,2261011,0933016,05272,23,54.4262,18.4862,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W101,Węzeł własny,,2205032,0169762,,55,54.3876,18.2213,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W102,Węzeł własny,,2205085,0991380,41348,21,54.3179,18.3374,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W103,Węzeł własny,,2205025,0163699,,28,54.3378,18.2907,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W104,Węzeł własny,,2205085,0177454,48918,32,54.3012,18.3638,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W105,Węzeł własny,,2205032,0169868,08171,33,54.4233,18.3584,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
W106,Węzeł własny,,2205032,0169868,02566,14B,54.4190,18.3512,radiowe,Nie,WiFi - 802.11ac w paśmie 5GHz,,Nie,Nie,,Nie,,
