pe01_id_pe,pe02_typ_pe,pe03_id_wezla,pe04_pdu,pe05_terc,pe06_simc,pe07_ulic,pe08_nr_porzadkowy,pe09_szerokosc,pe10_dlugosc,pe11_medium_transmisyjne,pe12_technologia_dostepowa,pe13_mozliwosc_swiadczenia_uslug,pe14_finansowanie_publ,pe15_numery_projektow_publ
PE_1_W114,04,W114,Tak,2261011,0933016,07427,77,54.4245,18.4754,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W115,04,W115,Tak,2205032,0169845,17798,48,54.3994,18.3317,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W116,04,W116,Tak,2261011,0933016,10045,12,54.4407,18.4603,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W117,04,W117,Tak,2261011,0933016,29213,23,54.4219,18.4686,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W118,04,W118,Tak,2215092,0175290,07290,3,54.4525,18.3288,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W119,04,W119,Tak,2204052,0170104,10898,16,54.2309,18.3812,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W120,04,W120,Tak,2204052,0169992,18403,24,54.2499,18.3413,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W121,04,W121,Tak,2204052,0169928,11139,9,54.2468,18.3810,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W122,04,W122,Tak,2204052,0170110,08194,2A,54.2137,18.3352,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W123,04,W123,Tak,2204052,0169963,13809,4,54.2451,18.3577,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W124,04,W124,Tak,2215092,0175290,21038,5,54.4667,18.3164,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W125,04,W125,Tak,2205085,0177170,17011,11A,54.4493,18.4216,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W126,04,W126,Tak,2215092,0175202,15773,4,54.4412,18.3923,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W127,04,W127,Tak,2205025,0163311,,14,54.3884,18.1084,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W128,04,W128,Tak,2205025,0163707,,122,54.4210,18.0798,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W129,04,W129,Tak,2205025,0163624,,38,54.3840,18.0969,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
PE_1_W130,04,W130,Tak,2205025,0163707,,30D,54.3928,18.0756,radiowe,WiFi - 802.11ac w paśmie 5GHz,09,Nie,
