pe01_id_pe,pe02_typ_pe,pe03_id_wezla,pe04_pdu,pe05_terc,pe06_simc,pe07_ulic,pe08_nr_porzadkowy,pe09_szerokosc,pe10_dlugosc,pe11_medium_transmisyjne,pe12_technologia_dostepowa,pe13_mozliwosc_swiadczenia_uslug,pe14_finansowanie_publ,pe15_numery_projektow_publ
"P0123","04","WW_W0123","Tak","2204052","0169963","13809","4","54.2451","18.3577","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0124","04","WW_W0124","Tak","2215092","0175290","21038","5","54.4667","18.3164","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0125","04","WW_W0125","Tak","2205085","0177170","17011","11A","54.4493","18.4216","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0126","04","WW_W0126","Tak","2215092","0175202","15773","4","54.4412","18.3923","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0127","04","WW_W0127","Tak","2205025","0163311","","14","54.3884","18.1084","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0128","04","WW_W0128","Tak","2205025","0163707","","122","54.4210","18.0798","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0129","04","WW_W0129","Tak","2205025","0163624","","38","54.3840","18.0969","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0130","04","WW_W0130","Tak","2205025","0163707","","30D","54.3928","18.0756","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0131","04","WW_W0131","Tak","2205025","0163417","16742","5","54.4026","18.0146","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0132","04","WW_W0132","Tak","2205025","0163417","34537","4","54.3923","18.0290","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0133","04","WW_W0133","Tak","2205025","0162949","","38A","54.3848","17.9970","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0134","04","WW_W0134","Tak","2205025","0163417","01842","4","54.3899","18.0278","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0135","04","WW_W0135","Tak","2205025","0163802","","1B","54.4213","18.0486","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0136","04","WW_W0136","Tak","2205042","0170877","","22","54.3735","17.9768","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0137","04","WW_W0137","Tak","2215062","0165534","","55","54.4249","18.0175","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0138","04","WW_W0138","Tak","2205025","0163156","","19","54.4177","18.0940","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0139","04","WW_W0139","Tak","2215092","0175395","08124","2","54.4612","18.1407","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0140","04","WW_W0140","Tak","2205012","0160005","","48","54.3583","18.0896","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0141","04","WW_W0141","Tak","2205025","0163529","19142","34","54.3558","18.1799","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0142","04","WW_W0142","Tak","2205085","0177371","31918","39","54.3755","18.3955","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0143","04","WW_W0143","Tak","2205025","0163268","38369","3","54.2895","18.2411","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0144","04","WW_W0144","Tak","2205025","0163268","04805","1","54.2969","18.2196","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0145","04","WW_W0145","Tak","2205085","0177371","29356","2","54.3753","18.3970","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0146","04","WW_W0146","Tak","2205085","0177402","11522","44","54.3033","18.4100","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0147","04","WW_W0147","Tak","2205085","0177260","00518","6","54.2869","18.4273","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0148","04","WW_W0148","Tak","2205085","0177170","22508","6","54.4312","18.4353","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0149","04","WW_W0149","Tak","2215092","0175461","03811","6","54.4413","18.3499","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0150","04","WW_W0150","Tak","2205085","0177454","15953","73","54.3054","18.3400","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0151","04","WW_W0151","Tak","2205084","0935127","33503","24","54.3444","18.3490","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0152","04","WW_W0152","Tak","2205085","0177402","","","54.3160","18.3802","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0153","04","WW_W0153","Tak","2205085","0177371","24048","3","54.3684","18.3751","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0154","04","WW_W0154","Tak","2205085","0177170","33800","65B","54.4177","18.4371","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
"P0155","04","WW_W0155","Tak","2206042","0164500","25449","1","54.1175","17.8656","radiowe","WiFi - 802.11ac w paśmie 5GHz","09","Nie",""
